CollegeName,State Name
" Vidhyabharti Trust Polytechnic Institute,Umrakh.",Gujarat
" Ved Vyas Polytechnic, Himmatnagar ",Gujarat
" Atul Polytechnic, Mansa, Mahudi ",Gujarat
" Om Insti. Of Eng.& Technology, Junagadh ",Gujarat
" S.B. Polytechnic, Savli, Vadodara",Gujarat
" Narayanbhai Bhikhabhai Patel Polytechnic,Piludara, Mehsana ",Gujarat
" Savitaben Dahyabhai Patel Polytechnic, Mehsana ",Gujarat
" F. D.(Mubin) Institute of Engineering & Technology, Dehgam, Bahiyal, Gandhinagar ",Gujarat
" H. B. Patel Institute of Diploma Engineering & Technology, Limbodara, Lunavada ",Gujarat
" Shree Hari Polytechnic Institute, Nani Kadi",Gujarat
" Balasinor College of Polytechnic, Dist. Kheda ",Gujarat
" Arpit Institute of Engineering & Technology (Diploma),Hadala,Rajkot ",Gujarat
" D.A. Diploma Engg. and Technology, Mahemdavad ",Gujarat
" Image Engg. And Technology Institute, Kheda ",Gujarat
" ARUN MUCHHALA ENGINEERING COLLEGE KHOKHARA MAHADEV, AMRELI (I",Gujarat
" Ahmedabad Institute Of Technology Gota, Ahmedabad (SFI)",Gujarat
 Atmiya Institute Of Technology & Science Rajkot (SFI),Gujarat
 Chaudhari Technical Institute - MBA WOMENS(SFI) ,Gujarat
 D.L.Patel Institute of Management & Technology-MBA Programme (SFI)-Himmatnagar ,Gujarat
 GLS Institute of Computer Technology (GLSICT-MBA)-Ahmedabad (SFI) ,Gujarat
" GANDHINAGAR INSTITUTE OF TECHNOLOGY, GANDHINAGAR",Gujarat
 Golden Jubilee Institute of Management & Technology (SFI)-Sidhpur ,Gujarat
 Hasmukh Goswami College of Engineering(SFI)-Vehlal Dahegam ,Gujarat
 L.J.Institute of Engineering & Technology (SFI)-Ahmedabad ,Gujarat
 Leelaben Dashrathbhai Rramdas Patel Institute of Technology & Research (SFI) Gandhinagar ,Gujarat
 Noble Engineering College(MBA Course) (SFI) -Bamangam Junagadh ,Gujarat
" Parul Institute of Engineering & Technology-MBA Programme (SFI),Waghodia. ",Gujarat
" Department of Business Management, Sankalchand Patel College of Engineering (SFI)-Visnagar ",Gujarat
 Sarvoday College of Management and Technology (MBA) (Integrated Campus )(SFI)-Limbdi ,Gujarat
 Sigma Institute of Engineering (SFI) -Barrrol-Ta:Waghodiya Di:Vadodara. ,Gujarat
 T.N.Rao College of Information Technology (SFI)-Rajkot ,Gujarat
" Atmiya Institute of Technology & Science (SFI),Rajkot. ",Gujarat
" J.H.Patel College of Management & Technology (SFI) ,Christipura, Dahemi,Ta: Borsad,Di:Anand ",Gujarat
 S.S.Agrawal Institute of Management & Technology-Navsari-(SFI) ,Gujarat
 Vidyabharti Trust Inst.Of technology & Reserch Centre (SFI) -Umrakh Bordoli ,Gujarat
" INSTITUTE OF TECHNOLOGY & MANAGEMENT UNIVERSITY TECHNICAL CAMPUS PALADI, VADODARA (I",Gujarat
" M Institute of Management & Technology, Pathankot (I",Punjab
" R College of Engineering and Technology, PIN-523230 (CC-HJ) (I",Andhra Pradesh
"A C M E INSTITUTE OF MANAGEMENT AND TECHNOLOGY, BAREILLY (Id: C-46711",Uttar Pradesh
A C T College of Engineering and Technology (Id: C-16600,Tamil Nadu
A G PATIL INSTITUTE OF TECHNOLOGY 18 2A2 PRATANAGER SOREGON ROAD (Id: C-15759,Maharashtra
"A M C College of Engineering, BANGALORE (Id: C-1231",Karnataka
"A N A COLLEGE OF ENGINEERING AND MANAGEMENT STUDIES, BAREILLY (Id: C-46712",Uttar Pradesh
A R Engineering College (Id: C-16544,Tamil Nadu
A R M College of Engineering and Technology (Id: C-16575,Tamil Nadu
"A S R College of Engineering & Technology, PIN-533003 (CC-6Y) (Id: C-18109",Andhra Pradesh
"A&M Institute of Computer & Technology , Pathankot (Id: C-10261",Punjab
"A.B.M.S.) Akhil Bharatiya Maratha Shikshan Parishad's College of Engineering & Research Address: S. No. 103, Shahu College Campus, Parvati, Taluka: Pune (corporation Area) District: Pune - 411009 (Id: C-41484",Maharashtra
A.C. College of Technology Campus (Id: C-25071,Tamil Nadu
"A.C.E. Foundation's Maharashtra Institute of Information Technology, Chhatrapati Sankul. (Id: C-34334",Maharashtra
"A.J. College of Science and Technology, Thonnakkal, Thiruvananthapuram (Id: C-43749",Kerala
"A.K.R.G. College of Engineering and Technology, Nallajerla-534112, (CC-HK) (Id: C-18031",Andhra Pradesh
A.K.T. Memorial College of Engineering & Technology (Id: C-16591,Tamil Nadu
"A.M. Reddy Memorial College of Engineering and Technology, Vinukonda Road, Narasaraopet(Mandal), PIN-522601(CC-HM) (Id: C-18114",Andhra Pradesh
A.M.R Institute of Technology (Id: C-19943,Telangana
"A.R. INSTITUTE OF MANAGEMENT & TECHNOLOGY RAJPURA, MEERUT (Id: C-29088",Uttar Pradesh
A.R.J. College of Engineering and Technology (Id: C-25039,Tamil Nadu
"A.S.N. Women's Engineering College, Kamala Educational Society, Burripalem Road, Tenali-522201(CC-JT) (Id: C-17970",Andhra Pradesh
A.V.C. College of Engineering (Id: C-24992,Tamil Nadu
"A1 Global Institute of Engineering & Technology, Markapur- 523316 (CC-7Y) (Id: C-18145",Andhra Pradesh
AADINATH INSTITUTE OF INFORMATION TECHNOLOGY & MANAGEMENT BARWANI (Id: C-31499,Madhya Pradesh
Aalim Muhammed Salegh College of Engineering (Id: C-16533,Tamil Nadu
Aarupadai Veedu Institute of Technology (Id: C-10224,Tamil Nadu
AASS INFORMATION TECHNOLOGY RAIGARH (Id: C-31488,Chhatisgarh
ABACUS Institute of Engineering and Management 240 (Id: C-6310,West Bengal
ABACUS INSTITUTE OF TECHNOLOGY & MANAGEMENT PANDHURNA (Id: C-31192,Madhya Pradesh
"ABBNOOR INSTITUTE OF INFORMATION TECHNOLOGY, FARIDKOT (Id: C-49524",Punjab
"ABES ENGINEERING COLLEGE, GHAZIABAD (Id: C-46112",Uttar Pradesh
